lat,lon,kategori
-6.8869435,107.5811614,restoran
-6.8873695,107.5816872,restoran
-6.8815495,107.5944013,restoran
-6.8807109,107.5959997,restoran
-6.8715552,107.5940509,restoran
-6.8858733,107.5962969,restoran
-6.8752093,107.5964539,restoran
-6.8843694,107.6012683,restoran
-6.9027926,107.5978878,restoran
-6.8977742,107.6036158,restoran
-6.8799127,107.5838387,restoran
-6.9058695,107.5931889,restoran
-6.9057417,107.6176217,restoran
-6.8914029,107.61281,restoran
-6.8990133,107.6195912,restoran
-6.8990098,107.6197139,restoran
-6.9018456,107.6214397,restoran
-6.9055352,107.6271646,restoran
-6.8668218,107.6090526,restoran
-6.9167625,107.6183923,restoran
-6.9027613,107.6104139,restoran
-6.9009918,107.6134343,restoran
-6.9126453,107.5983597,restoran
-6.898751,107.6030848,restoran
-6.8867215,107.6167462,restoran
-6.8872957,107.6138988,restoran
-6.8972541,107.6147191,restoran
-6.8968401,107.6152372,restoran
-6.8982722,107.6369137,restoran
-6.8837407,107.6148998,restoran
-6.8682748,107.5938519,restoran
-6.8823595,107.5758245,restoran
-6.8823742,107.5762796,restoran
-6.873753,107.5957989,restoran
-6.8744394,107.5962776,restoran
-6.8703438,107.5917527,restoran
-6.8831642,107.6025761,restoran
-6.8828983,107.6005782,restoran
-6.8938944,107.6089033,restoran
-6.8716969,107.5941246,restoran
-6.9010333,107.6016546,restoran
-6.8934997,107.6050826,restoran
-6.8825278,107.5802874,restoran
-6.8939367,107.6050187,restoran
-6.8959285,107.6031089,restoran
-6.9009712,107.6125356,restoran
-6.8689658,107.5939841,restoran
-6.8561749,107.5958927,restoran
-6.9267334,107.6132906,restoran
-6.924869,107.6196988,restoran
-6.8879183,107.615515,restoran
-6.9198235,107.6170063,restoran
-6.9230613,107.6131868,restoran
-6.8880195,107.6016212,restoran
-6.8936141,107.6057343,restoran
-6.8696348,107.6202679,restoran
-6.9067229,107.6208472,restoran
-6.9069786,107.6208901,restoran
-6.907068,107.6200544,restoran
-6.9071277,107.6196671,restoran
-6.9104934,107.6184011,restoran
-6.8937286,107.6050758,restoran
-6.8931108,107.6050973,restoran
-6.9110685,107.6267052,restoran
-6.9052749,107.5961955,restoran
-6.9112066,107.6273321,restoran
-6.9196306,107.5935729,restoran
-6.8942667,107.610979,restoran
-6.8903481,107.6087349,restoran
-6.8905771,107.6093626,restoran
-6.8917009,107.6116156,restoran
-6.8883084,107.6088476,restoran
-6.8792672,107.6127822,restoran
-6.8898807,107.6172141,restoran
-6.9256802,107.6276337,restoran
-6.9169297,107.6093123,restoran
-6.869891,107.5934101,restoran
-6.9188476,107.6067686,restoran
-6.9065307,107.6146911,restoran
-6.9115054,107.6272212,restoran
-6.9167335,107.6307076,restoran
-6.9136255,107.6289496,restoran
-6.9161351,107.6304057,restoran
-6.9287447,107.6222637,restoran
-6.8838733,107.6150099,restoran
-6.8986257,107.613195,restoran
-6.9031083,107.6154995,restoran
-6.9045738,107.6140864,restoran
-6.9045936,107.6141887,restoran
-6.9046556,107.6141388,restoran
-6.919286,107.6169434,restoran
-6.9007525,107.5970316,restoran
-6.8964177,107.595882,restoran
-6.8782448,107.6169053,restoran
-6.878149,107.6169412,restoran
-6.8846311,107.6140131,restoran
-6.8803626,107.6163564,restoran
-6.8811193,107.6161344,restoran
-6.8786715,107.616787,restoran
-6.8804359,107.6163385,restoran
-6.8811754,107.6161217,restoran
-6.8787037,107.6167785,restoran
-6.8788817,107.6167362,restoran
-6.8845352,107.6135695,restoran
-6.8834273,107.6147436,restoran
-6.8767404,107.6179507,restoran
-6.8745715,107.6191251,restoran
-6.8745072,107.6191486,restoran
-6.8746857,107.6190813,restoran
-6.8674478,107.6209107,restoran
-6.8717491,107.620125,restoran
-6.8675629,107.6208871,restoran
-6.8698557,107.6205977,restoran
-6.8699337,107.6204523,restoran
-6.8734448,107.6196056,restoran
-6.867961,107.620412,restoran
-6.8677746,107.6204866,restoran
-6.926744,107.6276202,restoran
-6.9027187,107.6136333,restoran
-6.9194536,107.6161559,restoran
-6.9026858,107.5973876,restoran
-6.8966337,107.5970159,restoran
-6.8967854,107.5970217,restoran
-6.8951185,107.5880348,restoran
-6.893351,107.6051095,restoran
-6.8594667,107.5950246,restoran
-6.8975809,107.6121376,restoran
-6.8969429,107.5907416,restoran
-6.868265,107.6091207,restoran
-6.8679495,107.6073027,restoran
-6.8805774,107.5942858,restoran
-6.8799945,107.5940974,restoran
-6.8543222,107.5957541,restoran
-6.9190972,107.6153692,restoran
-6.8875201,107.6127573,restoran
-6.9010104,107.6123933,restoran
-6.9173914,107.6133076,restoran
-6.9284008,107.6240018,restoran
-6.9049365,107.6227839,restoran
-6.9019264,107.6214808,restoran
-6.8672236,107.6060351,restoran
-6.8856245,107.5962474,restoran
-6.8611951,107.5953286,restoran
-6.9205607,107.614136,restoran
-6.9084176,107.6241097,restoran
-6.9145571,107.6295973,restoran
-6.9047843,107.6165469,restoran
-6.9064702,107.615994,restoran
-6.8710838,107.6076398,restoran
-6.9055992,107.616762,restoran
-6.8742543,107.6192351,restoran
-6.905619,107.6167643,restoran
-6.8810535,107.5983139,restoran
-6.8799997,107.5981916,restoran
-6.8677255,107.5938724,restoran
-6.8755338,107.5966884,restoran
-6.9167187,107.613811,restoran
-6.924126,107.6118868,restoran
-6.914155,107.6135284,restoran
-6.8791733,107.6009453,restoran
-6.9104912,107.6306581,restoran
-6.9151627,107.5982134,restoran
-6.8748841,107.6188318,restoran
-6.8810858,107.5986064,restoran
-6.8826195,107.5964138,restoran
-6.9039231,107.5989336,restoran
-6.9204002,107.6002017,restoran
-6.9216518,107.6003966,restoran
-6.9185493,107.6096852,restoran
-6.8797792,107.5984107,restoran
-6.8810021,107.5982247,restoran
-6.9097236,107.5977039,restoran
-6.9379902,107.6193999,restoran
-6.9095532,107.5976897,restoran
-6.905355,107.6104147,restoran
-6.9153616,107.5982452,restoran
-6.9072846,107.6190397,restoran
-6.9124832,107.5992553,restoran
-6.9124458,107.5983485,restoran
-6.9123909,107.6011252,restoran
-6.9125398,107.6038437,restoran
-6.9043132,107.6237201,restoran
-6.9111906,107.6271109,restoran
-6.8775851,107.5895741,restoran
-6.9154611,107.629507,restoran
-6.9159462,107.6678531,restoran
-6.9018086,107.5973555,restoran
-6.9211852,107.6170492,restoran
-6.889864,107.5969999,restoran
-6.9011504,107.6134266,restoran
-6.9051622,107.6095953,restoran
-6.9127336,107.6289424,restoran
-6.9000351,107.6115953,restoran
-6.9022555,107.6044599,restoran
-6.9118683,107.5779293,restoran
-6.9130997,107.6262194,restoran
-6.8999,107.611426,restoran
-6.8926493,107.6144085,restoran
-6.8959401,107.6031687,restoran
-6.8997957,107.6115847,restoran
-6.9051254,107.6223404,restoran
-6.9016748,107.6250691,restoran
-6.9268716,107.6193988,restoran
-6.8548349,107.5959097,restoran
-6.8802525,107.5806276,restoran
-6.905339,107.6135667,restoran
-6.899456,107.6106804,restoran
-6.9164865,107.6136019,restoran
-6.8869718,107.603936,restoran
-6.8815585,107.5757293,restoran
-6.8768509,107.604058,restoran
-6.8816289,107.5816811,restoran
-6.8810961,107.581227,restoran
-6.9202649,107.599052,restoran
-6.8919365,107.6175378,restoran
-6.9489967,107.6234324,restoran
-6.8958519,107.5893761,restoran
-6.9021588,107.5975823,restoran
-6.9027733,107.6026978,restoran
-6.8968528,107.6037639,restoran
-6.9330981,107.6254099,restoran
-6.9352035,107.6247857,restoran
-6.9257329,107.6201892,restoran
-6.9106044,107.5979615,restoran
-6.9104931,107.5979568,restoran
-6.9093991,107.597875,restoran
-6.908961,107.5978563,restoran
-6.9129657,107.597758,restoran
-6.9156161,107.5982369,restoran
-6.9162559,107.597541,restoran
-6.9164135,107.5968616,restoran
-6.9172755,107.5981687,restoran
-6.9173543,107.5981524,restoran
-6.9182827,107.5931426,restoran
-6.919323,107.5929285,restoran
-6.918928,107.5889867,restoran
-6.9370934,107.5954123,restoran
-6.9493489,107.6254604,restoran
-6.9204135,107.5927319,restoran
-6.9150458,107.5965701,restoran
-6.902495,107.6093707,restoran
-6.900301,107.6092063,restoran
-6.8885603,107.6137119,restoran
-6.8895762,107.5990536,restoran
-6.8810304,107.5825971,restoran
-6.9105624,107.6276613,restoran
-6.911497,107.6276506,restoran
-6.8994995,107.63409,restoran
-6.8986559,107.6338765,restoran
-6.8980078,107.6347887,restoran
-6.8954547,107.6346062,restoran
-6.8876325,107.6154079,restoran
-6.890292,107.6079525,restoran
-6.8874739,107.6132269,restoran
-6.890525,107.6169022,restoran
-6.8922074,107.6176016,restoran
-6.8924156,107.6153131,restoran
-6.8948256,107.6173147,restoran
-6.8976182,107.6156768,restoran
-6.8981525,107.6149453,restoran
-6.8990246,107.6194663,restoran
-6.9195683,107.5927733,restoran
-6.9195066,107.5939635,restoran
-6.9198568,107.5954646,restoran
-6.9199557,107.5963305,restoran
-6.8982719,107.6435216,restoran
-6.8983404,107.6436331,restoran
-6.89895,107.6434172,restoran
-6.8991169,107.6435269,restoran
-6.8668806,107.5937278,restoran
-6.8677159,107.5936571,restoran
-6.8686153,107.5937916,restoran
-6.8689556,107.593519,restoran
-6.8713736,107.594601,restoran
-6.8707908,107.5937423,restoran
-6.8747901,107.5964663,restoran
-6.8794456,107.5964269,restoran
-6.8791683,107.5960754,restoran
-6.8809958,107.5972527,restoran
-6.91908,107.6125521,restoran
-6.9053771,107.6009336,restoran
-6.9038425,107.600752,restoran
-6.9039846,107.6672996,restoran
-6.9040985,107.5794215,restoran
-6.9104109,107.6260611,restoran
-6.9320455,107.6252304,restoran
-6.9062252,107.6159166,restoran
-6.8939186,107.6054344,restoran
-6.9090714,107.6257541,restoran
-6.8989615,107.6050417,restoran
-6.9167985,107.6092222,restoran
-6.9092255,107.6249998,restoran
-6.8873777,107.60234,restoran
-6.9448984,107.6305201,restoran
-6.8825002,107.5997553,restoran
-6.8829404,107.5992425,restoran
-6.8829031,107.6000043,restoran
-6.8937427,107.5868538,restoran
-6.9116564,107.6268819,restoran
-6.9070587,107.6237299,restoran
-6.9045876,107.6175664,restoran
-6.9001488,107.6094398,restoran
-6.9043768,107.6119068,restoran
-6.8979509,107.6137089,restoran
-6.897885,107.6138041,restoran
-6.9190188,107.6078605,restoran
-6.9207251,107.5984722,restoran
-6.9229988,107.5985499,restoran
-6.9052744,107.6141365,restoran
-6.9073948,107.5833286,restoran
-6.9084123,107.6181452,restoran
-6.9248012,107.6199116,restoran
-6.9058067,107.5968488,restoran
-6.9064034,107.6143573,restoran
-6.8933618,107.6057065,restoran
-6.9202633,107.6017398,restoran
-6.887541,107.5968379,restoran
-6.8999911,107.6039898,restoran
-6.9021861,107.6247453,restoran
-6.8939783,107.586321,restoran
-6.9185448,107.6155488,restoran
-6.8952024,107.6022782,restoran
-6.8780412,107.5773986,restoran
-6.9528421,107.6277228,restoran
-6.8982686,107.6173956,restoran
-6.9023115,107.6135993,restoran
-6.8903288,107.5961947,restoran
-6.8903231,107.5963214,restoran
-6.889655,107.5960529,restoran
-6.8890381,107.5960491,restoran
-6.8884652,107.5960213,restoran
-6.8903255,107.5962561,restoran
-6.8903206,107.5963924,restoran
-6.889791,107.5960614,restoran
-6.8887545,107.5960331,restoran
-6.8903808,107.5964328,restoran
-6.8883223,107.5961745,restoran
-6.888838,107.5960375,restoran
-6.8902714,107.5960569,restoran
-6.9195711,107.6157894,restoran
-6.8917426,107.6044205,restoran
-6.8846654,107.6073974,restoran
-6.8914629,107.6043639,restoran
-6.8650516,107.5942055,restoran
-6.9468855,107.6384563,restoran
-6.94702,107.6382191,restoran
-6.9045335,107.5993145,restoran
-6.8926072,107.5852302,restoran
-6.9085032,107.5984194,restoran
-6.8783734,107.5963943,restoran
-6.9016624,107.597561,restoran
-6.9044343,107.597659,restoran
-6.893814,107.6057222,restoran
-6.8942378,107.6056125,restoran
-6.8939722,107.6057199,restoran
-6.8941224,107.6056536,restoran
-6.9084924,107.6225601,restoran
-6.9086216,107.6247886,restoran
-6.8948961,107.5891041,restoran
-6.9105912,107.6261648,restoran
-6.9005394,107.6030518,restoran
-6.9227199,107.6077303,restoran
-6.8662192,107.609991,restoran
-6.9183508,107.6138211,restoran
-6.8970431,107.5914757,restoran
-6.9062762,107.590788,restoran
-6.9174178,107.6092353,restoran
-6.9169772,107.608836,restoran
-6.9170955,107.6087448,restoran
-6.9171422,107.6085855,restoran
-6.917202,107.608385,restoran
-6.91746,107.6094194,restoran
-6.9176115,107.6092962,restoran
-6.9173678,107.6093892,restoran
-6.9171028,107.6083528,restoran
-6.9169993,107.6087546,restoran
-6.9266622,107.7105839,restoran
-6.887513,107.612487,restoran
-6.8993196,107.6133452,restoran
-6.9045127,107.6755431,restoran
-6.8844734,107.6063465,restoran
-6.9041234,107.5973403,restoran
-6.9056495,107.5965298,restoran
-6.917021,107.6084609,restoran
-6.9056577,107.5973527,restoran
-6.9125227,107.6286872,restoran
-6.8780483,107.5922348,restoran
-6.9119898,107.6281614,restoran
-6.9058346,107.6168509,restoran
-6.906393,107.6173966,restoran
-6.910716,107.5977589,restoran
-6.8913214,107.5718325,restoran
-6.8886687,107.6189787,restoran
-6.9058303,107.5973504,restoran
-6.9145711,107.6021311,restoran
-6.8808327,107.5819186,restoran
-6.8970234,107.5912071,restoran
-6.9040399,107.6664854,restoran
-6.9029451,107.6655565,restoran
-6.9226022,107.6119813,restoran
-6.9249539,107.6183981,restoran
-6.9313423,107.6125525,restoran
