id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pasar,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,43,UNIT,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55,UNIT,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18,UNIT,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51,UNIT,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,70,UNIT,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56,UNIT,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65,UNIT,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,36,UNIT,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,33,UNIT,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,47,UNIT,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,41,UNIT,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,38,UNIT,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,30,UNIT,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,UNIT,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50,UNIT,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,33,UNIT,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16,UNIT,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,26,UNIT,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,16,UNIT,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6,UNIT,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,48,UNIT,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,13,UNIT,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,14,UNIT,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,11,UNIT,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,4,UNIT,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,UNIT,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,4,UNIT,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,76,UNIT,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,95,UNIT,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,18,UNIT,2020
