lat,lon,kategori
-6.9050969,107.5973817,kampus
-6.8722885,107.5745998,kampus
-6.9116663,107.6108713,kampus
-6.8848176,107.6213465,kampus
-6.5872104,106.8062782,kampus
-6.8775493,107.6202785,kampus
-6.5851739,106.8451546,kampus
-6.5896786,106.8388525,kampus
-6.9028424,107.7633897,kampus
-6.8324964,108.2150377,kampus
-6.2699137,106.7323691,kampus
-6.1789536,106.8773059,kampus
-6.3575291,106.8328596,kampus
-6.2063138,107.0153607,kampus
-6.2738302,107.0200002,kampus
-6.1791793,106.8784888,kampus
-6.3001358,106.6390609,kampus
-6.3251451,106.7441643,kampus
-6.3109409,106.7548195,kampus
-6.3111092,106.750952,kampus
-6.3450023,106.7572008,kampus
-6.2631335,106.7150193,kampus
-6.2893425,107.2922306,kampus
-6.8988185,107.6395281,kampus
-6.9271072,107.6259866,kampus
-6.8987637,107.6107894,kampus
-6.9112541,107.5782431,kampus
-6.8965816,107.6342973,kampus
-6.8947444,107.6346164,kampus
-6.8962936,107.6435144,kampus
-6.8978831,107.6357174,kampus
-6.9738356,107.6304442,kampus
-6.8695941,107.5937635,kampus
-6.9065089,107.6045553,kampus
-6.9055946,107.5814027,kampus
-6.8983266,107.637906,kampus
-7.6872621,108.6531455,kampus
-6.7377011,108.555208,kampus
-6.7613379,108.530123,kampus
-6.3703886,106.7947761,kampus
-6.3034203,106.6528889,kampus
-6.225571,106.8767965,kampus
-6.2085461,106.8630019,kampus
-6.2050705,106.8170887,kampus
-6.2099066,106.8196221,kampus
-6.2098973,106.8198514,kampus
-6.1855981,106.7975083,kampus
-6.1991362,106.8922699,kampus
-6.2597263,106.8638452,kampus
-6.15319,106.7034164,kampus
-6.2246069,106.9398075,kampus
-6.1293482,106.6954237,kampus
-6.2255897,106.9465151,kampus
-6.1461659,106.8292868,kampus
-6.1620192,106.8423493,kampus
-6.1775616,106.7916374,kampus
-6.2414803,106.8053068,kampus
-6.2750756,106.8855777,kampus
-6.1260657,106.8842831,kampus
-6.1393174,106.7332506,kampus
-6.1170574,106.8836904,kampus
-6.1213831,106.8912933,kampus
-6.1386286,106.9151902,kampus
-6.3123197,106.7549704,kampus
-6.209495,106.818654,kampus
-6.1327679,106.9005251,kampus
-6.1718076,106.633471,kampus
-6.1684105,106.6272209,kampus
-6.1968671,106.850223,kampus
-6.1974253,106.8482063,kampus
-6.1979618,106.8516355,kampus
-6.566043,106.8024345,kampus
-6.5761955,106.8073266,kampus
-6.586659,106.8063044,kampus
-6.1934721,106.8523262,kampus
-6.1953437,106.8508602,kampus
-6.1700658,106.8196916,kampus
-6.1686055,106.8208309,kampus
-6.165103,106.8137142,kampus
-6.1960899,106.6230567,kampus
-6.2188584,106.6183523,kampus
-6.2119269,106.6191999,kampus
-6.207359,106.6187494,kampus
-6.1850939,106.6124129,kampus
-6.1861255,106.6102545,kampus
-6.1854559,106.6102379,kampus
-6.1643902,106.7898282,kampus
-7.1235681,108.2137489,kampus
-6.2600047,106.4685225,kampus
-6.4864049,106.8586575,kampus
-6.9057383,107.6199014,kampus
-6.1672505,106.7937379,kampus
-6.5395426,107.4444492,kampus
-6.5463693,107.4424776,kampus
-6.1715937,106.6362199,kampus
-6.1961206,106.6230419,kampus
-6.1861753,106.6102768,kampus
-6.2231786,106.8668375,kampus
-6.207347,106.6185898,kampus
-6.1961247,106.6229588,kampus
-6.9830497,108.3130287,kampus
-6.9227903,106.9374606,kampus
-6.921589,106.9454513,kampus
-6.9173691,106.9102897,kampus
-6.60616,106.7995498,kampus
-6.5762145,106.8073215,kampus
-6.580369,106.7664505,kampus
-6.5821698,106.7789367,kampus
-6.9215403,106.935794,kampus
-6.9116739,106.9247539,kampus
-6.7095029,108.5312858,kampus
-6.417114,108.0803571,kampus
-6.1903806,106.841702,kampus
-6.302458,106.6518719,kampus
-6.2448312,106.6246663,kampus
-6.1924843,106.630898,kampus
-6.7418172,108.5346297,kampus
-6.8979318,107.6448221,kampus
-6.935951,107.7100708,kampus
-6.8931521,107.6192969,kampus
-6.9010231,107.6523622,kampus
-7.1238949,108.2139246,kampus
-6.721879,108.5378713,kampus
-7.3489875,108.2227707,kampus
-6.2485855,106.8437139,kampus
-6.2382146,106.7703622,kampus
-6.2314595,106.8668213,kampus
-6.2599928,106.9989462,kampus
-6.6591758,106.891664,kampus
-6.6002451,106.8064598,kampus
-6.2304292,106.8236985,kampus
-7.2070582,107.8960117,kampus
-6.3737397,106.8632428,kampus
-6.5922497,106.7532599,kampus
-6.590316,106.7855128,kampus
-6.656165,106.8750375,kampus
-6.9429091,107.6275856,kampus
-6.9430887,107.6275522,kampus
-6.9433139,107.6273601,kampus
-6.3357757,107.155296,kampus
-6.9719375,107.6455625,kampus
-6.7340296,108.5372565,kampus
-6.3310208,107.3360022,kampus
-6.1682438,106.7263723,kampus
-6.184544,106.6171772,kampus
-6.1719399,106.645759,kampus
-6.1814782,106.7957367,kampus
-6.1812956,106.796135,kampus
-7.2195159,107.758596,kampus
-7.2184039,107.758294,kampus
-7.2184893,107.7587406,kampus
-7.2170285,107.7594464,kampus
-7.2153858,107.758595,kampus
-7.2147688,107.7582365,kampus
-6.898043905544775,107.5889919487168,kampus
-6.370499344948179,106.82361713938049,kampus
-6.312554903723421,106.83894106779582,kampus
-6.134490792112848,106.73807995976374,kampus
-7.3500579586266275,108.12687585273108,kampus
-6.22565967615646,106.87646550657293,kampus
-6.294542888289439,107.06905982519339,kampus
-6.308920006875207,106.75739516617753,kampus
-6.604656305513059,106.78789140028583,kampus
-6.73545910674612,108.532232876641,kampus
-6.371818876728672,106.82431754113396,kampus
-6.522602679633963,106.87840949303917,kampus
-6.526569168327521,106.88105971300001,kampus
-6.3698868499999985,106.82296944999999,kampus
-6.370863101564737,106.82461725902644,kampus
-6.370470948996267,106.82302004542409,kampus
-6.371371315404544,106.82356804944749,kampus
-6.37286691020052,106.82550988841247,kampus
-6.372106355421661,106.82359124964556,kampus
-6.370933722616417,106.82351137414913,kampus
-6.37175047190973,106.82357600234971,kampus
-6.371823725847023,106.82570233721268,kampus
-6.353731150128198,106.86108518419617,kampus
-6.894468205007645,107.60935109399117,kampus
-6.257783654710646,106.86311078349021,kampus
-6.356851531967122,106.83344320774434,kampus
-6.908912913673407,107.61030915054097,kampus
-6.169709101714119,106.86977585363378,kampus
-6.287696555002123,106.87475611465331,kampus
-6.314519644765478,106.86230303714473,kampus
-6.2440133009819005,106.89763632740538,kampus
-6.341231868074778,106.8631423484043,kampus
-6.253560103308618,106.86473863777512,kampus
-6.199368083511155,106.8531985965832,kampus
-6.200556549999998,106.85561844999998,kampus
-6.192805515869182,106.84915056511251,kampus
-6.24092016213504,106.8769865462022,kampus
-6.199977096064776,106.80735322742296,kampus
-6.240430920856379,106.81755633424919,kampus
-6.218130749999999,106.81594085,kampus
-6.257428317447239,106.85488042532658,kampus
-6.59965266612927,106.81157741722649,kampus
-6.600954019734613,106.80677719014996,kampus
-6.580984180620133,106.7912535283282,kampus
-6.371400121068889,106.82297149251681,kampus
-6.371100439627328,106.82275875351863,kampus
-6.372483549999999,106.82491734999998,kampus
-6.3725200531103185,106.8239539561849,kampus
-6.372437480753109,106.82359749152226,kampus
-6.372355263445529,106.82420258890838,kampus
-6.8690433220756155,107.59455813543379,kampus
-6.8663589117207104,107.59266164771145,kampus
-6.8732998300414065,107.57597925408827,kampus
-6.886364401015076,107.5805995027012,kampus
