lat,lon,kategori
-6.5646994,107.4557997,pasar
-6.8847502,107.6139584,pasar
-6.6186481,106.8213525,pasar
-6.6175351,106.8117178,pasar
-6.6179697,106.8204187,pasar
-6.5732142,106.633073,pasar
-6.4358535,107.0506159,pasar
-6.4359388,107.0515064,pasar
-6.5897344,106.8275283,pasar
-6.3884252,106.8492496,pasar
-6.9713618,108.5170238,pasar
-6.9718836,108.5168629,pasar
-6.2915177,106.9444471,pasar
-6.3579953,106.8588963,pasar
-6.8839529,107.5749695,pasar
-6.9280313,107.6065555,pasar
-7.2191677,106.8851277,pasar
-7.309666,107.7942416,pasar
-7.361243,107.811524,pasar
-6.3078577,107.3068625,pasar
-6.2591674,106.9637676,pasar
-6.6007479,106.8138336,pasar
-6.4070023,106.962337,pasar
-6.2605426,106.7093938,pasar
-7.6841444,108.6513007,pasar
-6.5492695,106.5349475,pasar
-6.1299049,106.7941732,pasar
-6.3645703,106.9238123,pasar
-6.3226563,106.9752544,pasar
-6.4686209,107.0642809,pasar
-6.3125598,106.7463458,pasar
-6.8485636,106.7629607,pasar
-6.1991527,106.7611797,pasar
-6.1257413,106.8389892,pasar
-6.1486801,106.8256211,pasar
-6.1516882,106.8443744,pasar
-6.1097378,106.7377731,pasar
-7.2845222,106.6211881,pasar
-6.7460678,108.541683,pasar
-6.5444868,106.8272247,pasar
-6.3925144,106.9998771,pasar
-6.5717747,106.9930879,pasar
-6.336428,107.045239,pasar
-6.7980502,106.70975,pasar
-6.6050446,106.7926927,pasar
-6.5759769,106.7526944,pasar
-6.2727152,107.2663209,pasar
-6.1141846,106.8924169,pasar
-6.223625,107.041187,pasar
-6.6218205,106.8086884,pasar
-6.1214968,106.8708707,pasar
-6.3851608,106.680775,pasar
-6.9829604,108.4817396,pasar
-6.9819964,108.4800809,pasar
-6.7022168,108.4780244,pasar
-7.1875067,106.4554451,pasar
-6.7611253,107.6179246,pasar
-7.1511032,107.9519072,pasar
-7.0000343,107.6299812,pasar
-6.1654272,106.5674042,pasar
-6.1779396,106.6300758,pasar
-6.9013053,107.6228683,pasar
-6.2468545,106.4652085,pasar
-6.2250474,106.7090156,pasar
-6.1440331,106.6663124,pasar
-6.2652871,107.0194195,pasar
-6.9861924,106.5444337,pasar
-6.22447,106.7080893,pasar
-6.2065306,106.6502725,pasar
-6.2059825,106.6497453,pasar
-6.2072781,106.6492194,pasar
-6.207415,106.6493875,pasar
-6.207032,106.6494879,pasar
-6.207621,106.6493111,pasar
-6.2082245,106.6490706,pasar
-6.2077997,106.6491453,pasar
-6.2088954,106.6487391,pasar
-6.2093597,106.6483608,pasar
-6.2091531,106.648244,pasar
-6.2094525,106.6484589,pasar
-6.209926,106.6483164,pasar
-6.2098355,106.6480993,pasar
-6.8965777,107.6169817,pasar
-6.148387,106.7457107,pasar
-6.2240175,106.8660262,pasar
-6.179838,106.8133731,pasar
-6.144292,106.8157839,pasar
-6.1503907,106.7971685,pasar
-6.4397232,106.8344838,pasar
-6.3171158,107.1594489,pasar
-6.1921356,106.8486652,pasar
-7.3943552,108.6611668,pasar
-7.4183519,108.6657175,pasar
-6.1575126,106.5687902,pasar
-6.8860505,106.7789221,pasar
-6.9191338,107.5906952,pasar
-6.8937486,107.6192501,pasar
-6.8844672,107.614021,pasar
-6.169269,106.5265086,pasar
-6.9235336,107.5815036,pasar
-6.70681,108.5126889,pasar
-6.9197714,106.9156083,pasar
-6.9056905,107.5590491,pasar
-6.8980198,107.5562295,pasar
-6.9267617,107.5650317,pasar
-6.8329698,106.3281353,pasar
-6.2060247,107.0140066,pasar
-6.2216457,106.9315014,pasar
-6.9106558,107.6438066,pasar
-6.9417201,107.6070312,pasar
-6.7069615,108.5036987,pasar
-6.9038234,107.8284868,pasar
-6.9095978,107.6415259,pasar
-6.5507668,106.6932362,pasar
-7.0022476,108.4031904,pasar
-6.4588351,106.6491891,pasar
-6.8633809,108.5860715,pasar
-6.8284556,108.628229,pasar
-6.8706169,107.0970207,pasar
-6.1412714,106.8124827,pasar
-6.1606622,106.5711133,pasar
-6.2381592,106.7807318,pasar
-6.2382377,106.7729357,pasar
-6.2382424,106.7728655,pasar
-6.1786597,106.6302705,pasar
-6.3243554,106.7453149,pasar
-6.9484272,106.4488159,pasar
-6.9524674,106.4399926,pasar
