lat,lon,kategori
-6.8869435,107.5811614,restoran
-6.8873695,107.5816872,restoran
-6.8815495,107.5944013,restoran
-6.8807109,107.5959997,restoran
-6.8715552,107.5940509,restoran
-6.8858733,107.5962969,restoran
-6.8752093,107.5964539,restoran
-6.8843694,107.6012683,restoran
-6.9027926,107.5978878,restoran
-6.8977742,107.6036158,restoran
-6.8799127,107.5838387,restoran
-6.9058695,107.5931889,restoran
-6.9057417,107.6176217,restoran
-6.8914029,107.61281,restoran
-6.8990133,107.6195912,restoran
-6.8990098,107.6197139,restoran
-6.9018456,107.6214397,restoran
-6.9055352,107.6271646,restoran
-6.8668218,107.6090526,restoran
-6.8760243,106.7761504,restoran
-6.5305237,106.7667922,restoran
-6.2315654,106.8091207,restoran
-6.1853139,106.8292687,restoran
-6.5720007,106.8082113,restoran
-6.5911789,106.8028559,restoran
-6.6053607,106.8127067,restoran
-6.2270548,106.8188215,restoran
-6.9167625,107.6183923,restoran
-6.9027613,107.6104139,restoran
-6.9009918,107.6134343,restoran
-6.9126453,107.5983597,restoran
-6.898751,107.6030848,restoran
-6.243612,106.8112063,restoran
-6.3728137,106.8333305,restoran
-6.8867215,107.6167462,restoran
-6.8872957,107.6138988,restoran
-6.8972541,107.6147191,restoran
-6.8968401,107.6152372,restoran
-6.8982722,107.6369137,restoran
-6.1892346,106.7963777,restoran
-6.1887754,106.7966001,restoran
-6.8837407,107.6148998,restoran
-6.2216971,106.8328855,restoran
-6.2179322,106.8352926,restoran
-6.217509,106.8351981,restoran
-6.2176167,106.8352278,restoran
-6.2206146,106.8325406,restoran
-6.3609294,106.8332271,restoran
-6.8682748,107.5938519,restoran
-6.8823595,107.5758245,restoran
-6.8823742,107.5762796,restoran
-6.873753,107.5957989,restoran
-6.8744394,107.5962776,restoran
-6.8703438,107.5917527,restoran
-6.8831642,107.6025761,restoran
-6.8828983,107.6005782,restoran
-6.8938944,107.6089033,restoran
-6.8716969,107.5941246,restoran
-6.9010333,107.6016546,restoran
-6.218784,106.8342014,restoran
-6.2274971,106.8256943,restoran
-6.6070856,106.8102285,restoran
-6.6177653,106.8148144,restoran
-6.6179063,106.8202802,restoran
-6.6182362,106.8205657,restoran
-6.6166434,106.814486,restoran
-6.6175387,106.8204779,restoran
-6.6183985,106.8158036,restoran
-6.8934997,107.6050826,restoran
-6.3424744,106.7249438,restoran
-7.3442763,108.2233482,restoran
-6.256858,106.6200212,restoran
-6.6115584,106.8146393,restoran
-6.7707908,106.7779571,restoran
-6.2073613,106.8276206,restoran
-6.5961048,106.8046329,restoran
-6.3940829,106.8144184,restoran
-6.3991028,106.8206376,restoran
-6.3612849,106.8337431,restoran
-6.3611638,106.833277,restoran
-6.3618419,106.8333779,restoran
-6.3634229,106.8335068,restoran
-6.3663551,106.8334878,restoran
-6.3715716,106.8967083,restoran
-6.3680324,106.8338964,restoran
-6.3679445,106.8342609,restoran
-6.3674045,106.8351249,restoran
-6.9738431,108.5283856,restoran
-6.9735929,108.526889,restoran
-6.3470112,106.750643,restoran
-6.3471974,106.7487806,restoran
-6.1989263,106.8857661,restoran
-6.2013183,106.8857998,restoran
-6.2011358,106.8858153,restoran
-6.1970682,106.8862437,restoran
-6.2007422,106.8858317,restoran
-6.3754953,106.8973198,restoran
-6.2435573,106.9343356,restoran
-6.8825278,107.5802874,restoran
-6.9576638,106.4863037,restoran
-6.2216833,106.83293,restoran
-6.2216817,106.8330017,restoran
-6.2217055,106.832812,restoran
-6.2216769,106.8329619,restoran
-6.2216182,106.8333687,restoran
-6.2181548,106.8345863,restoran
-6.2178965,106.8345593,restoran
-6.2186576,106.835003,restoran
-6.218346,106.8352004,restoran
-6.217655,106.8347415,restoran
-6.2184859,106.8348267,restoran
-6.2176986,106.8352477,restoran
-6.2175912,106.8347584,restoran
-6.2177623,106.8349136,restoran
-6.8939367,107.6050187,restoran
-6.8959285,107.6031089,restoran
-6.8113108,107.5998908,restoran
-6.6088129,106.8165549,restoran
-6.2550113,106.8093074,restoran
-6.9009712,107.6125356,restoran
-6.2174601,106.8166673,restoran
-6.3447093,106.7577248,restoran
-6.4674901,106.8030953,restoran
-6.6117358,106.8151828,restoran
-6.4055077,106.7471636,restoran
-6.4032852,106.766631,restoran
-6.2435912,106.6177823,restoran
-6.8689658,107.5939841,restoran
-6.1346378,106.8123495,restoran
-6.2088121,106.8267782,restoran
-6.1164866,106.7620997,restoran
-6.1615105,106.8338961,restoran
-6.2239344,106.8515147,restoran
-6.1213446,106.8409451,restoran
-6.1189012,106.8477316,restoran
-6.1973908,106.8238871,restoran
-6.2505445,106.7979146,restoran
-6.4213652,106.8584883,restoran
-6.22492,106.801425,restoran
-6.1965871,106.8828857,restoran
-6.8561749,107.5958927,restoran
-6.7230684,107.0240448,restoran
-6.2790461,106.7183377,restoran
-6.2330083,106.8312451,restoran
-6.2967003,106.7114046,restoran
-6.296599,106.7120376,restoran
-6.2607344,106.7505085,restoran
-6.6311164,106.8249121,restoran
-6.6107617,106.8116489,restoran
-6.816085,107.589551,restoran
-6.9267334,107.6132906,restoran
-6.924869,107.6196988,restoran
-6.8879183,107.615515,restoran
-6.9599589,106.4877846,restoran
-6.2178927,106.8372392,restoran
-6.1346457,106.8322389,restoran
-6.9198235,107.6170063,restoran
-6.9230613,107.6131868,restoran
-6.8880195,107.6016212,restoran
-6.8936141,107.6057343,restoran
-6.8696348,107.6202679,restoran
-6.8476429,107.6275129,restoran
-6.9067229,107.6208472,restoran
-6.9069786,107.6208901,restoran
-6.907068,107.6200544,restoran
-6.9071277,107.6196671,restoran
-6.9104934,107.6184011,restoran
-6.8937286,107.6050758,restoran
-6.8931108,107.6050973,restoran
-6.9110685,107.6267052,restoran
-7.7035403,108.6562657,restoran
-6.2277225,106.8548632,restoran
-6.2275834,106.8551233,restoran
-6.2277934,106.8552056,restoran
-6.2272402,106.8548485,restoran
-6.227208,106.8549559,restoran
-6.226385,106.8549625,restoran
-6.4194846,106.7546711,restoran
-6.6216968,106.8162432,restoran
-6.4490208,106.7347991,restoran
-6.3409594,106.9449806,restoran
-6.3289632,106.9462011,restoran
-6.3172675,106.9713913,restoran
-6.2927425,106.9599661,restoran
-6.6043218,106.7960939,restoran
-6.187781,106.824934,restoran
-6.2798912,106.8156789,restoran
-6.265305,106.8203852,restoran
-6.1660637,106.791354,restoran
-6.2554347,106.8095558,restoran
-6.2330142,106.8123941,restoran
-6.2395341,106.8064072,restoran
-6.2418567,106.8101246,restoran
-6.9052749,107.5961955,restoran
-6.3291014,106.9532525,restoran
-6.5741807,106.7967775,restoran
-6.9747782,108.5152029,restoran
-6.5928925,106.7876692,restoran
-6.5933455,106.7877148,restoran
-6.5929112,106.7879053,restoran
-6.5929278,106.7868914,restoran
-6.593111,106.7875646,restoran
-6.5954035,106.7874391,restoran
-6.5956822,106.7880877,restoran
-6.9112066,107.6273321,restoran
-6.9219862,106.9240362,restoran
-6.2194937,106.8342823,restoran
-6.2442229,106.6500883,restoran
-6.2435527,106.6509757,restoran
-6.9196306,107.5935729,restoran
-6.3665657,106.8281579,restoran
-6.8942667,107.610979,restoran
-6.8903481,107.6087349,restoran
-6.8905771,107.6093626,restoran
-6.8917009,107.6116156,restoran
-6.8883084,107.6088476,restoran
-6.1114255,106.7414367,restoran
-6.1126562,106.7429026,restoran
-6.112525,106.7364994,restoran
-6.2775588,106.8274536,restoran
-6.8792672,107.6127822,restoran
-6.8898807,107.6172141,restoran
-6.9256802,107.6276337,restoran
-6.247904,106.8005381,restoran
-6.9169297,107.6093123,restoran
-6.3942559,106.7887477,restoran
-6.3737018,106.8355764,restoran
-6.2551524,106.7903093,restoran
-6.2804838,107.0870162,restoran
-6.254737,106.7908035,restoran
-6.2551887,106.7905731,restoran
-6.2554909,106.7904439,restoran
-6.2579438,106.7896952,restoran
-6.2584532,106.7895656,restoran
-6.2588271,106.7894894,restoran
-6.2587277,106.7892235,restoran
-6.2590113,106.789425,restoran
-6.2590713,106.7894112,restoran
-6.259798,106.7892358,restoran
-6.2541566,106.7910208,restoran
-6.2531902,106.7911885,restoran
-6.253142,106.7911931,restoran
-6.2525119,106.7911077,restoran
-6.2514263,106.7916422,restoran
-6.249075,106.7916336,restoran
-6.2483613,106.7920868,restoran
-6.8799982,107.7562654,restoran
-6.1912165,106.8375268,restoran
-6.8448579,107.6541334,restoran
-6.869891,107.5934101,restoran
-6.1968181,106.8226374,restoran
-6.9188476,107.6067686,restoran
-6.4256644,106.7323462,restoran
-6.3015422,106.8370555,restoran
-6.9065307,107.6146911,restoran
-6.9115054,107.6272212,restoran
-6.9167335,107.6307076,restoran
-6.9136255,107.6289496,restoran
-6.9161351,107.6304057,restoran
-6.9287447,107.6222637,restoran
-6.1222761,106.6532366,restoran
-6.0863904,106.7232094,restoran
-6.3095654,106.9327673,restoran
-6.0989064,106.6872299,restoran
-6.107678,106.7805287,restoran
-6.3855851,106.7409582,restoran
-6.6032119,106.8134231,restoran
-6.2731544,106.7234747,restoran
-6.8410552,107.9258132,restoran
-6.839925,107.9257604,restoran
-6.8444906,107.9246209,restoran
-6.8441938,107.9250245,restoran
-6.8547513,107.9224284,restoran
-6.8546963,107.9221264,restoran
-6.835968,107.9296967,restoran
-6.5141296,106.8632962,restoran
-6.5141807,106.8632472,restoran
-6.1868651,106.8266123,restoran
-6.5890661,107.4326756,restoran
-6.2272846,106.8095795,restoran
-6.3046689,106.8500032,restoran
-6.1950822,106.8202796,restoran
-6.1951302,106.8203292,restoran
-6.1952022,106.8203507,restoran
-6.1951716,106.8201241,restoran
-6.1950706,106.8201241,restoran
-6.293984,106.8158512,restoran
-6.8838733,107.6150099,restoran
-6.9686676,108.5060236,restoran
-6.9695036,108.5060315,restoran
-6.8986257,107.613195,restoran
-6.9031083,107.6154995,restoran
-6.9045738,107.6140864,restoran
-6.9045936,107.6141887,restoran
-6.9046556,107.6141388,restoran
-6.919286,107.6169434,restoran
-6.9007525,107.5970316,restoran
-6.8964177,107.595882,restoran
-6.2574201,106.8531174,restoran
-6.8782448,107.6169053,restoran
-6.878149,107.6169412,restoran
-6.8846311,107.6140131,restoran
-6.8803626,107.6163564,restoran
-6.8811193,107.6161344,restoran
-6.8786715,107.616787,restoran
-6.8804359,107.6163385,restoran
-6.8811754,107.6161217,restoran
-6.8787037,107.6167785,restoran
-6.8788817,107.6167362,restoran
-6.8845352,107.6135695,restoran
-6.8834273,107.6147436,restoran
-6.8767404,107.6179507,restoran
-6.8745715,107.6191251,restoran
-6.8745072,107.6191486,restoran
-6.8746857,107.6190813,restoran
-6.8674478,107.6209107,restoran
-6.8717491,107.620125,restoran
-6.8675629,107.6208871,restoran
-6.8698557,107.6205977,restoran
-6.8699337,107.6204523,restoran
-6.8734448,107.6196056,restoran
-7.3143973,107.7218466,restoran
-6.867961,107.620412,restoran
-6.8677746,107.6204866,restoran
-6.926744,107.6276202,restoran
-6.9027187,107.6136333,restoran
-6.9194536,107.6161559,restoran
-6.9026858,107.5973876,restoran
-6.8966337,107.5970159,restoran
-6.8967854,107.5970217,restoran
-6.2282169,106.855643,restoran
-6.2248596,106.8553326,restoran
-6.224826,106.8531475,restoran
-6.2242716,106.8528602,restoran
-6.2239976,106.8516889,restoran
-6.2413781,106.8473812,restoran
-6.8951185,107.5880348,restoran
-6.6358412,106.7938993,restoran
-6.2254253,106.8098871,restoran
-6.9492594,107.7621724,restoran
-6.1760647,106.8597668,restoran
-6.1867724,106.8235694,restoran
-6.1887788,106.8243119,restoran
-6.3009357,106.8996938,restoran
-6.893351,107.6051095,restoran
-6.8594667,107.5950246,restoran
-6.8975809,107.6121376,restoran
-6.8969429,107.5907416,restoran
-6.2731416,106.7582321,restoran
-6.2702117,106.7395226,restoran
-6.1445119,106.893057,restoran
-6.154719,106.891191,restoran
-6.1587725,106.9070687,restoran
-6.868265,107.6091207,restoran
-6.8679495,107.6073027,restoran
-6.2651474,106.885027,restoran
-6.2536255,106.8002819,restoran
-6.184055,106.8303978,restoran
-6.2240872,106.8095394,restoran
-6.1763764,106.8726097,restoran
-6.8805774,107.5942858,restoran
-6.8799945,107.5940974,restoran
-6.2005439,106.8528692,restoran
-6.2507752,106.8095649,restoran
-6.2077644,106.8284283,restoran
-6.1697786,106.78288,restoran
-6.1879102,106.8369072,restoran
-6.2094418,106.8261734,restoran
-6.2225456,106.8213808,restoran
-6.2259636,106.8585708,restoran
-6.1860453,106.8251691,restoran
-6.225605,106.8567311,restoran
-6.2412502,106.7899659,restoran
-6.1616561,106.8309996,restoran
-6.1465915,106.8156635,restoran
-6.2148543,106.8281743,restoran
-6.1769388,106.8000254,restoran
-6.2267713,106.8069544,restoran
-6.1877561,106.8297848,restoran
-6.2088213,106.8268464,restoran
-6.1927241,106.7578011,restoran
-6.2414782,106.8395348,restoran
-6.3730083,106.833266,restoran
-6.246085,106.7984528,restoran
-6.2264938,106.8068159,restoran
-6.1702835,106.9034437,restoran
-6.2327789,106.6310079,restoran
-6.1942131,106.8361732,restoran
-6.1014626,106.8000132,restoran
-6.1894626,106.8241815,restoran
-6.2476581,106.625462,restoran
-6.229573,106.5881,restoran
-6.1569411,106.8187962,restoran
-6.1769221,106.8309481,restoran
-6.8543222,107.5957541,restoran
-6.2308686,106.80762,restoran
-6.2309793,106.8083697,restoran
-6.2312486,106.8088713,restoran
-6.2310538,106.8091174,restoran
-6.2309579,106.8089263,restoran
-6.232335,106.8111315,restoran
-6.2313378,106.809081,restoran
