id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,1543,UNIT,2018/2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,280,UNIT,2018/2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,1166,UNIT,2018/2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,45,UNIT,2018/2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,1228,UNIT,2018/2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,28,UNIT,2018/2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,1313,UNIT,2018/2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,93,UNIT,2018/2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,1487,UNIT,2018/2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,97,UNIT,2018/2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,1070,UNIT,2018/2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,16,UNIT,2018/2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,741,UNIT,2018/2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,4,UNIT,2018/2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,640,UNIT,2018/2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,12,UNIT,2018/2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,885,UNIT,2018/2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,36,UNIT,2018/2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,659,UNIT,2018/2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,8,UNIT,2018/2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,581,UNIT,2018/2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,18,UNIT,2018/2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,865,UNIT,2018/2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,30,UNIT,2018/2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,846,UNIT,2018/2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,33,UNIT,2018/2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,378,UNIT,2018/2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,30,UNIT,2018/2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,852,UNIT,2018/2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,52,UNIT,2018/2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,708,UNIT,2018/2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,266,UNIT,2018/2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,672,UNIT,2018/2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,37,UNIT,2018/2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,282,UNIT,2018/2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,1,UNIT,2018/2019
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,211,UNIT,2018/2019
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,57,UNIT,2018/2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,101,UNIT,2018/2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,19,UNIT,2018/2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,274,UNIT,2018/2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,197,UNIT,2018/2019
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,128,UNIT,2018/2019
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,33,UNIT,2018/2019
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,419,UNIT,2018/2019
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,283,UNIT,2018/2019
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,263,UNIT,2018/2019
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,182,UNIT,2018/2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,101,UNIT,2018/2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,24,UNIT,2018/2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,199,UNIT,2018/2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,28,UNIT,2018/2019
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,82,UNIT,2018/2019
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,4,UNIT,2018/2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,1543,UNIT,2019/2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,303,UNIT,2019/2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,1164,UNIT,2019/2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,51,UNIT,2019/2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,1226,UNIT,2019/2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,30,UNIT,2019/2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,1313,UNIT,2019/2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,105,UNIT,2019/2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,1463,UNIT,2019/2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,100,UNIT,2019/2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,1070,UNIT,2019/2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,17,UNIT,2019/2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,740,UNIT,2019/2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,4,UNIT,2019/2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,638,UNIT,2019/2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,17,UNIT,2019/2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,885,UNIT,2019/2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,48,UNIT,2019/2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,659,UNIT,2019/2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,14,UNIT,2019/2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,583,UNIT,2019/2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,20,UNIT,2019/2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,866,UNIT,2019/2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,33,UNIT,2019/2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,845,UNIT,2019/2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,35,UNIT,2019/2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,378,UNIT,2019/2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,33,UNIT,2019/2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,852,UNIT,2019/2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,63,UNIT,2019/2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,708,UNIT,2019/2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,278,UNIT,2019/2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,672,UNIT,2019/2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,41,UNIT,2019/2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,282,UNIT,2019/2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2,UNIT,2019/2020
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,211,UNIT,2019/2020
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,61,UNIT,2019/2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,100,UNIT,2019/2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,19,UNIT,2019/2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,274,UNIT,2019/2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,201,UNIT,2019/2020
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,127,UNIT,2019/2020
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,37,UNIT,2019/2020
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,417,UNIT,2019/2020
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,296,UNIT,2019/2020
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,263,UNIT,2019/2020
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,191,UNIT,2019/2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,101,UNIT,2019/2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,24,UNIT,2019/2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,199,UNIT,2019/2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,30,UNIT,2019/2020
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,82,UNIT,2019/2020
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,1537,UNIT,2024/2025
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,363,UNIT,2024/2025
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,1135,UNIT,2024/2025
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,79,UNIT,2024/2025
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,1186,UNIT,2024/2025
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,58,UNIT,2024/2025
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,1236,UNIT,2024/2025
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,130,UNIT,2024/2025
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,1422,UNIT,2024/2025
117,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,116,UNIT,2024/2025
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,1034,UNIT,2024/2025
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,26,UNIT,2024/2025
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,733,UNIT,2024/2025
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,8,UNIT,2024/2025
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,635,UNIT,2024/2025
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,23,UNIT,2024/2025
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,745,UNIT,2024/2025
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,80,UNIT,2024/2025
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,652,UNIT,2024/2025
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,19,UNIT,2024/2025
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,582,UNIT,2024/2025
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,28,UNIT,2024/2025
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,823,UNIT,2024/2025
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,39,UNIT,2024/2025
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,817,UNIT,2024/2025
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,47,UNIT,2024/2025
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,378,UNIT,2024/2025
