id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,103,UNIT,2016/2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,570,UNIT,2016/2017
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2016/2017
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,168,UNIT,2016/2017
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,151,UNIT,2016/2017
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,155,UNIT,2016/2017
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,77,UNIT,2016/2017
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,241,UNIT,2016/2017
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,72,UNIT,2016/2017
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,36,UNIT,2016/2017
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,145,UNIT,2016/2017
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,237,UNIT,2016/2017
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,137,UNIT,2016/2017
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,122,UNIT,2016/2017
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,80,UNIT,2016/2017
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,38,UNIT,2016/2017
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,79,UNIT,2016/2017
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,23,UNIT,2016/2017
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,79,UNIT,2016/2017
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,27,UNIT,2016/2017
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,81,UNIT,2016/2017
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,106,UNIT,2016/2017
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,90,UNIT,2016/2017
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,118,UNIT,2016/2017
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,77,UNIT,2016/2017
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,84,UNIT,2016/2017
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,148,UNIT,2016/2017
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,24,UNIT,2016/2017
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,87,UNIT,2016/2017
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,71,UNIT,2016/2017
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,95,UNIT,2016/2017
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,242,UNIT,2016/2017
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,67,UNIT,2016/2017
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,98,UNIT,2016/2017
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,37,UNIT,2016/2017
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,16,UNIT,2016/2017
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,57,UNIT,2016/2017
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,184,UNIT,2016/2017
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,20,UNIT,2016/2017
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,100,UNIT,2016/2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,16,UNIT,2016/2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,28,UNIT,2016/2017
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,18,UNIT,2016/2017
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,26,UNIT,2016/2017
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,49,UNIT,2016/2017
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,220,UNIT,2016/2017
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,26,UNIT,2016/2017
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,194,UNIT,2016/2017
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,11,UNIT,2016/2017
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,25,UNIT,2016/2017
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,21,UNIT,2016/2017
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,52,UNIT,2016/2017
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,10,UNIT,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,14,UNIT,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,103,UNIT,2017/2018
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,559,UNIT,2017/2018
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2017/2018
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,164,UNIT,2017/2018
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,151,UNIT,2017/2018
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,145,UNIT,2017/2018
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,77,UNIT,2017/2018
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,233,UNIT,2017/2018
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,139,UNIT,2017/2018
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,229,UNIT,2017/2018
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,137,UNIT,2017/2018
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,116,UNIT,2017/2018
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,79,UNIT,2017/2018
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,34,UNIT,2017/2018
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,79,UNIT,2017/2018
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,22,UNIT,2017/2018
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,80,UNIT,2017/2018
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,103,UNIT,2017/2018
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,79,UNIT,2017/2018
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,25,UNIT,2017/2018
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,71,UNIT,2017/2018
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,34,UNIT,2017/2018
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,90,UNIT,2017/2018
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,112,UNIT,2017/2018
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,77,UNIT,2017/2018
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,81,UNIT,2017/2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,149,UNIT,2017/2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,21,UNIT,2017/2018
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,86,UNIT,2017/2018
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,70,UNIT,2017/2018
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,89,UNIT,2017/2018
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,232,UNIT,2017/2018
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,67,UNIT,2017/2018
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,97,UNIT,2017/2018
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,37,UNIT,2017/2018
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,15,UNIT,2017/2018
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,20,UNIT,2017/2018
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,102,UNIT,2017/2018
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,16,UNIT,2017/2018
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,28,UNIT,2017/2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,57,UNIT,2017/2018
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,185,UNIT,2017/2018
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,18,UNIT,2017/2018
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,25,UNIT,2017/2018
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,44,UNIT,2017/2018
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,218,UNIT,2017/2018
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,26,UNIT,2017/2018
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,186,UNIT,2017/2018
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,11,UNIT,2017/2018
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,25,UNIT,2017/2018
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,21,UNIT,2017/2018
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,51,UNIT,2017/2018
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,10,UNIT,2017/2018
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,14,UNIT,2017/2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,103,UNIT,2018/2019
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,587,UNIT,2018/2019
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2018/2019
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,168,UNIT,2018/2019
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,151,UNIT,2018/2019
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,163,UNIT,2018/2019
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,77,UNIT,2018/2019
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,245,UNIT,2018/2019
117,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,145,UNIT,2018/2019
118,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,236,UNIT,2018/2019
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,137,UNIT,2018/2019
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,122,UNIT,2018/2019
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,80,UNIT,2018/2019
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,41,UNIT,2018/2019
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,79,UNIT,2018/2019
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,24,UNIT,2018/2019
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,80,UNIT,2018/2019
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,107,UNIT,2018/2019
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,79,UNIT,2018/2019
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,25,UNIT,2018/2019
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,72,UNIT,2018/2019
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,39,UNIT,2018/2019
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,90,UNIT,2018/2019
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,118,UNIT,2018/2019
