lat,lon,kategori
-6.9147418,107.614526,sekolah
-6.8964982,107.5899956,sekolah
-6.8654562,107.6059886,sekolah
-6.8752133,107.6050273,sekolah
-7.275235,107.1058254,sekolah
-6.5301746,106.7689943,sekolah
-6.5726996,106.8074851,sekolah
-6.5780607,106.8144052,sekolah
-6.5927797,106.7967433,sekolah
-6.5921296,106.7965072,sekolah
-6.5921495,106.7960425,sekolah
-6.5885879,106.7993953,sekolah
-6.2710398,107.1038566,sekolah
-6.2696215,107.1038088,sekolah
-6.5856782,106.7988911,sekolah
-6.5837278,106.7999961,sekolah
-6.7012267,107.0528886,sekolah
-6.6139501,106.8109933,sekolah
-6.5229981,106.8075912,sekolah
-6.5232752,106.8062018,sekolah
-6.5222839,106.8058799,sekolah
-6.521122,106.806234,sekolah
-6.5214525,106.8077575,sekolah
-6.9059498,107.6180692,sekolah
-6.9063188,107.6184864,sekolah
-7.017397,107.7625835,sekolah
-6.5849668,106.8087058,sekolah
-6.6060803,106.8081403,sekolah
-6.8965277,107.6122468,sekolah
-6.8903413,107.6265975,sekolah
-6.8877225,107.6250855,sekolah
-6.3608561,106.8331691,sekolah
-6.5928603,106.7960741,sekolah
-6.2850521,106.9181862,sekolah
-6.8417256,107.6609526,sekolah
-6.1997558,106.8919112,sekolah
-6.8645262,107.6829362,sekolah
-6.5822665,106.8895894,sekolah
-6.5872626,106.7882751,sekolah
-6.5768706,106.6332578,sekolah
-6.5817307,106.6363048,sekolah
-6.5761351,106.6347062,sekolah
-6.1634462,107.0421125,sekolah
-6.4449048,107.0374033,sekolah
-6.4473142,107.0383421,sekolah
-6.5864868,106.8045396,sekolah
-6.5863588,106.8039066,sekolah
-6.5864442,106.804207,sekolah
-6.5859614,106.8019062,sekolah
-6.293643,106.9643085,sekolah
-6.2918301,106.9650273,sekolah
-6.3961379,106.8140196,sekolah
-6.3903514,106.8142932,sekolah
-6.390445,106.8143004,sekolah
-6.3933959,106.8145522,sekolah
-6.3960389,106.8142044,sekolah
-6.3963575,106.814121,sekolah
-6.3701323,106.8485263,sekolah
-6.3697182,106.8500941,sekolah
-6.3666418,106.8357598,sekolah
-6.9732361,108.5198455,sekolah
-6.7977683,106.7770751,sekolah
-6.3826783,106.8272837,sekolah
-6.3828273,106.8271335,sekolah
-6.3828208,106.8273159,sekolah
-6.3823776,106.829393,sekolah
-6.3825375,106.8292965,sekolah
-6.3786799,106.8256783,sekolah
-6.3788105,106.8253591,sekolah
-6.3839204,106.8116396,sekolah
-6.3850373,106.8155837,sekolah
-6.3852159,106.8156736,sekolah
-6.3852426,106.8155771,sekolah
-6.37951,106.815409,sekolah
-6.3797621,106.8153598,sekolah
-6.3838874,106.8125032,sekolah
-6.8909182,107.6034266,sekolah
-6.8907828,107.604046,sekolah
-6.8911142,107.6040522,sekolah
-6.384059,106.822091,sekolah
-6.383801,106.822135,sekolah
-6.3841262,106.8223871,sekolah
-6.3818818,106.8200214,sekolah
-6.9246284,107.6074997,sekolah
-6.9268011,107.606872,sekolah
-6.9256576,107.6067688,sekolah
-6.924269,107.6082668,sekolah
-6.3786586,106.8311339,sekolah
-6.3747668,106.8218373,sekolah
-6.3811104,106.8027304,sekolah
-6.3815161,106.8024396,sekolah
-6.3769419,106.8145364,sekolah
-6.4037999,106.8388855,sekolah
-6.3819521,106.8193424,sekolah
-6.3797141,106.8050038,sekolah
-6.3749853,106.8069028,sekolah
-6.3896167,106.8080132,sekolah
-6.3797793,106.814976,sekolah
-6.3889344,106.8077397,sekolah
-6.3846615,106.8114825,sekolah
-6.3844882,106.811704,sekolah
-6.3843016,106.8112533,sekolah
-6.3846721,106.811771,sekolah
-6.3784666,106.8031477,sekolah
-6.3792183,106.8363964,sekolah
-6.3708242,106.8338042,sekolah
-6.3784933,106.831048,sekolah
-6.374047,106.8386923,sekolah
-7.2170924,106.881623,sekolah
-7.215718,106.8825865,sekolah
-7.2162123,106.8833589,sekolah
-7.2171952,106.8866414,sekolah
