Provinsi,Jumlah Kecamatan
Aceh,290
Sumatera Utara,455
Sumatera Barat,179
Riau,172
Jambi,144
Sumatera Selatan,241
Bengkulu,129
Lampung,229
Kepulauan Bangka Belitung,47
Kepulauan Riau,80
DKI Jakarta,44
Jawa Barat,627
Jawa Tengah,576
DI Yogyakarta,78
Jawa Timur,666
Banten,155
Bali,57
Nusa Tenggara Barat,117
Nusa Tenggara Timur,315
Kalimantan Barat,174
Kalimantan Tengah,136
Kalimantan Selatan,156
Kalimantan Timur,105
Kalimantan Utara,55
Sulawesi Utara,171
Sulawesi Tengah,178
Sulawesi Selatan,313
Sulawesi Tenggara,221
Gorontalo,77
Sulawesi Barat,69
Maluku,120
Maluku Utara,118
Papua Barat,91
Papua Barat Daya,132
Papua,106
Papua Selatan,82
Papua Tengah,131
Papua Pegunungan,252
Indonesia,7288
