Kota dan Kecamatan,
,Kepadatan Penduduk di Kota Bandung menurut Kecamatan (Jiwa/Km2)
,2023
Bandung Kulon,21397
Babakan Ciparay,19694
Bojongloa Kaler,41501
Bojongloa Kidul,14278
Astanaanyar,25563
Regol,18941
Lengkong,12174
Bandung Kidul,10306
Buahbatu,13472
Rancasari,12071
Gedebage,4530
Cibiru,12370
Panyileukan,8153
Ujungberung,14540
Cinambo,7126
Arcamanik,14043
Antapani,21539
Mandalajati,11398
Kiaracondong,21619
Batununggal,24339
Sumur Bandung,11671
Andir,26760
Cicendo,14180
Bandung Wetan,8628
Cibeunying Kidul,21862
Cibeunying Kaler,15926
Coblong,15901
Sukajadi,24216
Sukasari,12484
Cidadap,9108
Kota Bandung,-
