lat,lon,kategori
-6.8939696,107.6055017,kafe
-6.869002,107.6208824,kafe
-6.9021325,107.6040636,kafe
-6.9070431,107.6230593,kafe
-6.9183143,107.6143286,kafe
-6.878483,107.616839,kafe
-6.8834511,107.6147196,kafe
-6.8831106,107.6138208,kafe
-6.909191,107.6276245,kafe
-6.9089804,107.627429,kafe
-6.9071425,107.6202146,kafe
-6.8979598,107.6098119,kafe
-6.9079727,107.6239556,kafe
-6.8869895,107.6126856,kafe
-6.9061929,107.5981092,kafe
-6.904728,107.6178751,kafe
-6.9088982,107.6184895,kafe
-6.917453,107.6132859,kafe
-6.9164146,107.6138316,kafe
-6.916593,107.6138143,kafe
-6.905489,107.6206005,kafe
-6.9291255,107.6196615,kafe
-6.9036224,107.6209866,kafe
-6.9046421,107.618747,kafe
-6.9045688,107.6197076,kafe
-6.9286472,107.5868038,kafe
-6.9160557,107.6091519,kafe
-6.9052965,107.6138859,kafe
-6.9010768,107.6097423,kafe
-6.9025783,107.6097557,kafe
-6.9024057,107.6143369,kafe
-6.900332,107.6136806,kafe
-6.872527,107.5932983,kafe
-6.9204024,107.6130499,kafe
-6.884257,107.5968352,kafe
-6.8997615,107.6104078,kafe
-6.8996949,107.610294,kafe
-6.8979361,107.592867,kafe
-6.8851859,107.5815401,kafe
-6.8891532,107.582279,kafe
-6.90137,107.5990705,kafe
-6.9309098,107.6262291,kafe
-6.9120068,107.5960795,kafe
-6.9109614,107.5979568,kafe
-6.917344,107.5983109,kafe
-6.904971,107.6102432,kafe
-6.9025596,107.6104052,kafe
-6.9023283,107.6102359,kafe
-6.8861336,107.5816203,kafe
-6.9095825,107.6273878,kafe
-6.9119046,107.628106,kafe
-6.9123755,107.6282628,kafe
-6.8958583,107.6348705,kafe
-6.8946071,107.6346631,kafe
-6.8940138,107.6348136,kafe
-6.8943992,107.635277,kafe
-6.8949494,107.6164681,kafe
-6.8960232,107.6168462,kafe
-6.8961805,107.6166992,kafe
-6.8969548,107.6156562,kafe
-6.9189145,107.5889524,kafe
-6.8975816,107.6437749,kafe
-6.8869859,107.6149061,kafe
-6.8710748,107.5936203,kafe
-6.9063815,107.6103688,kafe
-6.9169485,107.6091118,kafe
-6.907337,107.6232794,kafe
-6.9045305,107.6199423,kafe
-6.8938137,107.6123099,kafe
-6.9248412,107.621374,kafe
-6.9078484,107.6237768,kafe
-6.9070236,107.6057856,kafe
-6.9206091,107.6154775,kafe
-6.930728,107.6219372,kafe
-6.9186286,107.6141221,kafe
-6.9161264,107.5887671,kafe
-6.8901174,107.5960789,kafe
-6.8901104,107.5965612,kafe
-6.8901004,107.5961777,kafe
-6.8886602,107.5960294,kafe
-6.8885606,107.5960266,kafe
-6.8889259,107.5960428,kafe
-6.961599,107.6246951,kafe
-6.9157346,107.6304829,kafe
-6.8733449,107.6050402,kafe
-6.9064912,107.6170456,kafe
-6.9296717,107.6035086,kafe
-6.9174934,107.6092599,kafe
-6.9171923,107.6093407,kafe
-6.9169517,107.6089282,kafe
-6.9165534,107.5889526,kafe
-6.9136103,107.6292534,kafe
-6.9018765,107.60974,kafe
-6.8949433,107.6162456,kafe
-6.8868433,107.6266658,kafe
-6.8657012,107.6213081,kafe
-6.8813092,107.5826337,kafe
-6.9059425,107.6191508,kafe
-6.9062428,107.5978201,kafe
-6.9097811,107.5969413,kafe
-6.9054216,107.6202311,kafe
-6.8924838,107.6251253,kafe
-6.9071388,107.6180169,kafe
-6.8686861,107.6065263,kafe
-6.8711062,107.6056926,kafe
-6.9032558,107.6139508,kafe
-6.9140252,107.6297763,kafe
-6.8840587,107.6177097,kafe
-6.8840265,107.6116969,kafe
-6.9156712,107.6418632,kafe
-6.9160279,107.6407122,kafe
-6.9182851,107.6094729,kafe
-6.9107304,107.6329394,kafe
-6.9248453,107.6039702,kafe
-6.92656,107.7105623,kafe
-6.9487922,107.5625018,kafe
-6.9315299,107.7146477,kafe
-6.8980574,107.607698,kafe
-6.8776541,107.6168476,kafe
-6.9093416,107.5922661,kafe
-6.8855533,107.5955189,kafe
-6.9453718,107.6304886,kafe
-6.9410924,107.6268912,kafe
-6.9411448,107.6270712,kafe
-6.9398319,107.625775,kafe
-6.9160953,107.6678117,kafe
-6.9158532,107.5944292,kafe
-6.9161426,107.6101371,kafe
-6.9293268,107.6383175,kafe
-6.9011192,107.6117927,kafe
-6.8936026,107.6051072,kafe
-6.9130481,107.6326629,kafe
-6.9024399,107.6217955,kafe
-6.9063298,107.5977616,kafe
-6.9052076,107.6045701,kafe
-6.9237589,107.617037,kafe
-6.9241793,107.6201345,kafe
-6.9072927,107.6158218,kafe
-6.8902542,107.6127312,kafe
-6.8991191,107.6211357,kafe
-6.9217662,107.6727307,kafe
-6.8949076,107.5887755,kafe
-6.8821567,107.6139604,kafe
-6.9552303,107.6967913,kafe
-6.9551464,107.6972339,kafe
-6.9547817,107.6974504,kafe
-6.9542561,107.6982999,kafe
-6.9540125,107.6985746,kafe
-6.9542561,107.6982999,kafe
-6.9540125,107.6985746,kafe
-6.907439,107.6089496,kafe
-6.8766336,107.6234896,kafe
-6.8755511,107.6042704,kafe
-6.8756006,107.6042621,kafe
-6.9183441,107.6182166,kafe
-6.9170677,107.6178618,kafe
-6.9136374,107.6023798,kafe
-6.9086249,107.6149449,kafe
-6.9235043,107.6058278,kafe
-6.9263544,107.7051584,kafe
-6.9087306,107.6109311,kafe
-6.9088052,107.6112583,kafe
-6.9088105,107.6114756,kafe
-6.9086534,107.6113254,kafe
-6.9089357,107.6112758,kafe
-6.9137299,107.6027866,kafe
-6.9261792,107.6367581,kafe
-6.926126,107.6365703,kafe
-6.9261073,107.6362726,kafe
-6.9252899,107.6369539,kafe
-6.9258118,107.636632,kafe
-6.9256946,107.6369002,kafe
-6.9080783,107.6089945,kafe
-6.9077481,107.6089409,kafe
